solver,Qin,iterations,time,residual_norm
bicgstab,10.26130653,28,0.0011134,1.67E-14
direct,10.35678392,0,0.0001133,7.68E-15
gmres,10.35678392,100,0.0621118,1.64E-13
bcg,10.35678392,23,0.0055481,1.03E-14
bicgstab,10.35678392,27,0.000765,2.56E-14
direct,10.45226131,0,8.43E-05,8.54E-15
gmres,10.45226131,100,0.0601912,2.78E-13
bcg,10.45226131,22,0.0048581,1.13E-14
bicgstab,10.45226131,29,0.0008029,1.80E-14
direct,10.54773869,0,7.15E-05,9.84E-15
gmres,10.54773869,100,0.056994,1.08E-13
bcg,10.54773869,22,0.0049153,1.23E-14
bicgstab,10.54773869,28,0.000789,1.37E-14
direct,10.64321608,0,8.09E-05,1.01E-14
gmres,10.64321608,100,0.0893882,2.49E-13
bcg,10.64321608,22,0.0046551,1.67E-14
bicgstab,10.64321608,27,0.0008053,9.73E-15
direct,10.73869347,0,0.0001495,1.06E-14
gmres,10.73869347,100,0.0671084,2.10E-13
bcg,10.73869347,22,0.0045048,1.21E-14
bicgstab,10.73869347,26,0.0007657,2.22E-14
direct,10.83417085,0,9.30E-05,9.13E-15
gmres,10.83417085,100,0.0970476,3.10E-13
bcg,10.83417085,22,0.0063738,5.46E-14
bicgstab,10.83417085,27,0.0007946,3.55E-14
direct,10.92964824,0,8.50E-05,1.12E-14
gmres,10.92964824,100,0.0747115,1.52E-13
bcg,10.92964824,22,0.0048025,1.02E-14
bicgstab,10.92964824,28,0.0007643,3.41E-14
direct,11.02512563,0,0.0001051,1.55E-14
gmres,11.02512563,100,0.0682003,2.58E-13
bcg,11.02512563,22,0.0047134,7.04E-15
bicgstab,11.02512563,27,0.0007355,1.76E-14
direct,11.12060302,0,7.47E-05,6.58E-15
gmres,11.12060302,100,0.0573527,2.11E-13
bcg,11.12060302,22,0.004976,2.22E-14
bicgstab,11.12060302,28,0.0007648,4.73E-14
direct,11.2160804,0,7.46E-05,1.03E-14
gmres,11.2160804,100,0.0557418,1.44E-13
bcg,11.2160804,22,0.0040003,8.18E-15
bicgstab,11.2160804,27,0.000715,1.82E-14
direct,11.31155779,0,8.48E-05,9.09E-15
gmres,11.31155779,100,0.062564,1.10E-13
bcg,11.31155779,22,0.0047695,1.63E-14
bicgstab,11.31155779,27,0.003024,4.13E-14
direct,11.40703518,0,7.34E-05,1.14E-14
gmres,11.40703518,100,0.0623074,2.20E-13
bcg,11.40703518,22,0.0048915,1.46E-14
bicgstab,11.40703518,29,0.0007724,1.36E-14
direct,11.50251256,0,8.38E-05,8.87E-15
gmres,11.50251256,100,0.0641455,2.84E-13
bcg,11.50251256,22,0.0040931,1.92E-14
bicgstab,11.50251256,28,0.0007332,3.18E-14
direct,11.59798995,0,8.96E-05,9.11E-15
gmres,11.59798995,100,0.0649562,1.42E-13
bcg,11.59798995,22,0.0050443,2.28E-14
bicgstab,11.59798995,27,0.0012752,7.52E-15
direct,11.69346734,0,7.70E-05,1.07E-14
gmres,11.69346734,100,0.0549099,9.74E-14
bcg,11.69346734,22,0.0049398,9.66E-15
bicgstab,11.69346734,28,0.0007786,5.84E-14
direct,11.78894472,0,8.71E-05,1.13E-14
gmres,11.78894472,100,0.0584456,1.54E-13
bcg,11.78894472,22,0.0040703,2.11E-14
bicgstab,11.78894472,27,0.0007173,3.76E-14
direct,11.88442211,0,7.82E-05,6.45E-15
gmres,11.88442211,100,0.0616486,1.44E-13
bcg,11.88442211,22,0.0039463,1.41E-14
bicgstab,11.88442211,27,0.0007125,1.37E-14
direct,11.9798995,0,6.88E-05,9.56E-15
gmres,11.9798995,100,0.0667356,1.49E-13
bcg,11.9798995,22,0.0070555,2.15E-14
bicgstab,11.9798995,27,0.0008444,4.04E-14
direct,12.07537688,0,9.84E-05,7.79E-15
gmres,12.07537688,100,0.0719662,2.10E-13
bcg,12.07537688,22,0.0058003,1.94E-14
bicgstab,12.07537688,27,0.0007899,2.41E-14
direct,12.17085427,0,9.70E-05,5.04E-15
gmres,12.17085427,100,0.0612528,3.04E-13
bcg,12.17085427,22,0.0082552,4.00E-14
bicgstab,12.17085427,29,0.0018248,1.33E-14
direct,12.26633166,0,0.0002166,1.12E-14
gmres,12.26633166,100,0.0682669,1.64E-13
bcg,12.26633166,23,0.004643,1.75E-14
bicgstab,12.26633166,27,0.000799,4.72E-14
direct,12.36180905,0,9.78E-05,1.68E-14
gmres,12.36180905,100,0.0753233,2.07E-13
bcg,12.36180905,22,0.0057462,2.47E-14
bicgstab,12.36180905,28,0.0008392,1.20E-14
direct,12.45728643,0,0.0001106,9.28E-15
gmres,12.45728643,100,0.0580626,1.14E-13
bcg,12.45728643,22,0.0046734,2.17E-14
bicgstab,12.45728643,28,0.0007777,3.37E-14
direct,12.55276382,0,0.0001007,6.77E-15
gmres,12.55276382,100,0.059389,3.87E-13
bcg,12.55276382,22,0.004263,2.04E-14
bicgstab,12.55276382,27,0.0007487,1.84E-14
direct,12.64824121,0,9.19E-05,6.29E-15
gmres,12.64824121,100,0.0553504,1.35E-13
bcg,12.64824121,22,0.0051877,1.21E-14
bicgstab,12.64824121,27,0.0007351,2.07E-14
direct,12.74371859,0,6.96E-05,8.91E-15
gmres,12.74371859,100,0.0638871,1.03E-13
bcg,12.74371859,22,0.0040231,3.35E-14
bicgstab,12.74371859,28,0.0007445,9.33E-14
direct,12.83919598,0,7.37E-05,7.86E-15
gmres,12.83919598,100,0.0609985,1.76E-13
bcg,12.83919598,22,0.0040205,1.32E-14
bicgstab,12.83919598,28,0.0007419,4.66E-14
direct,12.93467337,0,8.17E-05,9.14E-15
gmres,12.93467337,100,0.0750848,1.55E-13
bcg,12.93467337,22,0.0044942,1.96E-14
bicgstab,12.93467337,27,0.0008539,1.33E-14
direct,13.03015075,0,8.73E-05,5.88E-15
gmres,13.03015075,100,0.0565789,1.16E-13
bcg,13.03015075,22,0.0043659,5.66E-14
bicgstab,13.03015075,27,0.00072,2.08E-14
direct,13.12562814,0,8.91E-05,1.99E-14
gmres,13.12562814,100,0.0584793,3.04E-13
bcg,13.12562814,22,0.0042701,2.27E-14
bicgstab,13.12562814,27,0.0007128,2.47E-14
direct,13.22110553,0,7.79E-05,1.39E-14
gmres,13.22110553,100,0.0597639,1.18E-13
bcg,13.22110553,22,0.0051754,2.33E-14
bicgstab,13.22110553,28,0.0007412,6.97E-14
direct,13.31658291,0,8.22E-05,9.22E-15
gmres,13.31658291,100,0.0576856,1.68E-13
bcg,13.31658291,22,0.0045227,1.33E-14
bicgstab,13.31658291,27,0.0008662,2.27E-14
direct,13.4120603,0,7.20E-05,1.18E-14
gmres,13.4120603,100,0.0611255,2.69E-13
bcg,13.4120603,22,0.0063568,1.85E-14
bicgstab,13.4120603,27,0.0009253,5.45E-14
direct,13.50753769,0,9.97E-05,1.83E-14
gmres,13.50753769,100,0.077363,2.90E-13
bcg,13.50753769,22,0.0047192,1.48E-14
bicgstab,13.50753769,28,0.0007756,2.61E-14
direct,13.60301508,0,8.81E-05,9.16E-15
gmres,13.60301508,100,0.0698454,2.10E-13
bcg,13.60301508,22,0.0044161,1.56E-14
bicgstab,13.60301508,27,0.0008877,4.90E-14
direct,13.69849246,0,9.06E-05,9.44E-15
gmres,13.69849246,100,0.0931348,2.27E-13
bcg,13.69849246,22,0.0040995,2.21E-14
bicgstab,13.69849246,27,0.0014268,2.20E-14
direct,13.79396985,0,8.14E-05,6.82E-15
gmres,13.79396985,100,0.0558142,1.05E-13
bcg,13.79396985,22,0.0040341,4.11E-14
bicgstab,13.79396985,28,0.0007309,2.56E-14
direct,13.88944724,0,8.23E-05,1.35E-14
gmres,13.88944724,100,0.0823899,1.14E-13
bcg,13.88944724,22,0.0043173,1.64E-14
bicgstab,13.88944724,27,0.000714,3.54E-14
direct,13.98492462,0,8.21E-05,7.25E-15
gmres,13.98492462,100,0.0858354,2.10E-13
bcg,13.98492462,22,0.0040636,2.31E-14
bicgstab,13.98492462,28,0.000768,4.79E-14
direct,14.08040201,0,9.47E-05,1.11E-14
